gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
RPLP1,-1.149412471926347,11.63202037080818,-18.78351983717721,1.8583945253255162e-21,5.136602467999727e-18,38.66368987179533
PRMT8,2.131705626243221,10.432894804186622,17.136174305906835,4.9237979702499486e-20,1.3609377589770857e-16,35.51416539554377
C4orf46,2.6404293911581354,8.222917992321234,16.17761960527524,3.7123819954136144e-19,1.0261023835323231e-15,33.46564730723502
GNLY,5.2776765163496835,9.661867121685399,16.03527791260696,5.049322903015868e-19,1.395632850393586e-15,33.21964275215383
ZNF587,2.7057434101481617,7.9972432379852,15.32712539372599,2.4044689182788847e-18,6.645952090122837e-15,31.6133799252775
XRCC2,2.6419876416041537,7.829680451664605,14.533559118858081,1.471373511502664e-17,4.066876385793363e-14,29.837561723073627
IL2RB,2.4363160683774714,8.14347678189503,14.40354742314222,1.9927323885149178e-17,5.507912321855233e-14,29.574624850952965
CCL5,2.6016229995513163,9.603051876585008,13.92383930235633,6.203101864295195e-17,1.714537355291192e-13,28.433862546407795
EOMES,-2.4552381514334374,7.363390335289467,-13.782039447129875,8.720996340522282e-17,2.4104833885203587e-13,28.11589173142243
"KLRC1,KLRC2",2.4792109121130177,7.163379123591606,13.6807199646653,1.1140476088842575e-16,3.079227590956088e-13,27.843649501341527
WHRN,-1.8204816014537404,8.390102015492253,-13.610716697520964,1.3203139155186908e-16,3.6493476624936613e-13,27.72831614930063
IL32,2.45680522140564,7.851634046339949,13.381181682746242,2.313796977839143e-16,6.395334846747392e-13,27.1522332347199
GZMB,3.1068993653720325,8.830367414341453,13.124810431582766,4.3617973348113497e-16,1.205600783341857e-12,26.547434631044823
"CCL3,CCL3L3,CCL3L1",2.492055002667956,8.800538901297653,13.01138816310357,5.788569347897225e-16,1.599960567758793e-12,26.259019884729994
BMERB1,2.701340826986462,7.844356199590536,12.825180397501262,9.243028654668425e-16,2.5547731201503526e-12,25.792648938135713
"PPIAL4A,PPIAL4H,PPIAL4C,PPIAL4G",-1.2613598227267602,9.582063937581632,-12.476970140013094,2.2429720877449384e-15,6.19957485052701e-12,24.792245131283977
TIE1,-2.288523435020463,7.103444583478692,-12.46012375032179,2.342153836683877e-15,6.4737132045942356e-12,24.87864945302868
RPS19,-1.2085837942414641,9.946198188133954,-12.36724465425885,2.9750465676628875e-15,8.22302871302022e-12,24.46410215027251
TNFRSF9,-1.7777911707807783,8.192942951623174,-12.329587556436755,3.279014749930959e-15,9.06319676880917e-12,24.544336833507963
PHAX,1.5500376911112843,8.665352444639453,12.038974371179735,6.988660845583907e-15,1.931665857719392e-11,23.77105209760173
CAMK2N1,-2.1887018651203407,8.21208478279441,-12.011960652302983,7.502015734609047e-15,2.0735571490459406e-11,23.722938204431113
"XCL2,XCL1",-1.7657209000358483,7.898117861464575,-11.847887298605116,1.1561474081535589e-14,3.1955914361364364e-11,23.303287278086465
ID2,2.201035593802883,8.26119466888728,11.609811202798326,2.1787871855970857e-14,6.022167780990345e-11,22.67728404780536
LYRM2,1.3683009153451278,9.699708635599002,11.542315505827613,2.6110107187823902e-14,7.216833626714526e-11,22.32555489029496
FSTL3,-2.565110440189125,7.710963013875835,-11.244724425606249,5.839375872044644e-14,1.6140034910331397e-10,21.706013215029202
FOSL2,1.608499988387146,8.127670690081539,11.164315891986838,7.272238736310698e-14,2.010046786716277e-10,21.478295270761368
CTSD,1.0170081343277633,10.064110728418493,11.132845456308136,7.926225534777462e-14,2.1908087378124904e-10,21.149356335384702
"H3C14,H3C15",-1.1670957148207812,10.260020031443876,-10.946440991989858,1.3235054553338037e-13,3.658169078542633e-10,20.59122314351896
FOXP4,-1.9851217535869294,7.574002935471094,-10.924829561176715,1.4049703792096659e-13,3.883338128135516e-10,20.839946196495273
RPLP0,-1.082078913008584,9.956327577097854,-10.913898792573283,1.4480982353705747e-13,4.0025435225642684e-10,20.5455327255876
SERPINE2,1.0367410940824244,11.038878819297162,10.646698820280223,3.047024456375522e-13,8.421975597421943e-10,19.634456316029272
CSF1,2.562326736105539,7.530860575595112,10.629188836130671,3.200283398201494e-13,8.845583312628929e-10,20.04000583887835
H4C8,-1.2495749812670667,9.848223846086043,-10.554645541309869,3.9456042290933784e-13,1.0905650089214098e-9,19.553480131059743
"LOC112268354,LOC112268355,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS1,KIR2DL3,KIR2DL2,KIR2DL1,LOC107987438,KIR3DS1,KIR3DL1,KIR3DL2,KIR3DL3,KIR2DL5A,KIR2DL5B,KIR2DL4",1.3043448823313213,8.558769751882112,10.44225694285915,5.417438394802804e-13,1.4973799723234953e-9,19.432675171871608
FXYD5,0.7740509062033493,11.384597395623702,10.215968962471987,1.0307822116180518e-12,2.8490820329122953e-9,18.33427140748721
IL10RA,-1.3831670900428148,8.71628663271544,-9.816342601893828,3.2626133587282518e-12,9.017863323524887e-9,17.601476099519477
