gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,mlog10p
MT-ATP6,1.1995190585772131e-42,0.9368165377319304,0.991,0.916,2.388482349438947e-38,41.9209928473467
RPL39,3.7614025288852715e-40,-0.6979234414681255,0.988,0.997,7.489704715516352e-36,39.42465018779023
KLRC1,3.804267597479843e-36,1.7851503738594316,0.56,0.15,7.575057640101863e-32,35.419728941781585
GNLY,2.2547057799518385e-34,1.4313444793062384,0.896,0.644,4.4895701490401006e-30,33.64691012184811
CRIP1,3.668260396939096e-27,-0.8850606526120601,0.837,0.908,7.304240102385128e-23,26.435539842865765
IL32,1.1201828222170824e-26,1.2681177458185149,0.693,0.393,2.2305080355986546e-22,25.950711091436546
LAIR2,1.5745080945558682e-23,-1.0349281702116582,0.296,0.617,3.1351605178796447e-19,22.802855102311078
TIGIT,2.923290021249669e-23,0.9205076729797184,0.839,0.546,5.82085509031234e-19,22.534128095904915
RPS28,4.847221722323384e-23,-0.478550308321009,0.995,1,9.651787893490322e-19,22.31450711426131
MT-CYB,6.855199815002106e-23,0.6819426705775316,0.96,0.884,1.3650073871632193e-18,22.163979881897358
CD63,1.99460535769016e-21,0.7236542037100699,0.927,0.715,3.9716581882326466e-17,20.700143018739958
RPS26,4.3897252322107585e-21,-0.45182892154679877,0.974,0.989,8.740820882378062e-17,20.3575626628716
GZMB,6.112607907523073e-20,0.9281570501387137,0.87,0.67,1.2171424865459945e-15,19.21377346108253
SAMSN1,1.8994470998835605e-19,0.6871012730075363,0.861,0.596,3.782179065288145e-15,18.72137279715984
RPL12,3.2698632430005034e-19,-0.4375512059032234,0.991,0.987,6.510951689462602e-15,18.48547041065844
RGS1,7.588437243657852e-19,0.7547059484828407,0.839,0.586,1.5110096239571516e-14,18.11984765313433
CYBA,9.624005239667313e-19,0.6760718095808556,0.889,0.697,1.9163319233225552e-14,18.01664414922204
XCL1,1.784230077267855e-18,-1.1161234614793423,0.4,0.675,3.552758929855753e-14,17.748549143880794
RPL36,2.845911612642194e-18,-0.4324828592541934,0.983,0.982,5.666779203093137e-14,17.545778592213033
KLRD1,4.185068374666715e-17,0.8030466537679246,0.574,0.272,8.333308147636362e-13,16.378297442211252
RPS24,5.984219520629585e-17,-0.37497927551315957,0.991,0.995,1.1915777909477631e-12,16.222992483517686
TMSB4X,8.330015212661445e-17,0.3490017686690168,0.998,0.995,1.658672629145147e-12,16.079354205463694
CD52,8.439305361385485e-17,0.6134676516676243,0.891,0.704,1.6804344835590778e-12,16.073693298650696
STAT4,2.534542484489555e-16,0.8688094827341,0.738,0.488,5.046780995115602e-12,15.596100424651768
SYTL3,8.329807379594566e-16,0.6458808176073014,0.775,0.536,1.65863124542487e-11,15.079365041203824
VIM,2.0527890754220257e-15,0.44746888655318706,0.979,0.95,4.0875136069803376e-11,14.687655672200906
CEBPB,3.682913331959131e-15,0.7975135455307067,0.378,0.124,7.333417026597022e-11,14.433808501045922
RPS15A,5.958194155361711e-15,-0.3382799481547263,0.998,0.995,1.1863956202156238e-10,14.224885348850353
CCL5,7.653120380029596e-15,0.5967139486834547,0.991,0.945,1.523889330071493e-10,14.1161614553663
ITGAE,8.43039385965783e-15,0.6985936641178112,0.645,0.38,1.6786600253350672e-10,14.074152135092897
CTSD,1.1078816279109935e-14,0.7542679051497061,0.551,0.285,2.2060138974963702e-10,13.955506639509522
RPL41,1.2005298023280961e-14,-0.3512640397705784,0.995,1,2.390494942395705e-10,13.920627054410796
RPL10,1.563210515147712e-14,-0.3387202433339729,0.995,0.992,3.1126647777621243e-10,13.805982532274696
RPS27,3.2780654916544514e-14,-0.3226332304744668,0.993,0.995,6.527284006982343e-10,13.484382374017498
PDE7B,4.36211145832183e-14,0.7740909095313024,0.669,0.393,8.685836335810428e-10,13.360303241756927
MIF,1.0168472347102761e-13,-0.7480418631170391,0.461,0.646,2.0247462137551017e-9,12.992744288085868
CD74,1.0834349806274296e-13,-0.6679243114504381,0.844,0.897,2.157335733425338e-9,12.96519714655183
CXCR4,1.5575390390660813e-13,0.6812105109301854,0.73,0.533,3.1013717345883813e-9,12.807561059122406
RBPJ,1.805670247911207e-13,-0.4339063984025322,0.898,0.955,3.595450597640795e-9,12.743361557781233
XYLT1,2.010969717711721e-13,0.7693800801872113,0.454,0.211,4.004242901907579e-9,12.69659446919924
CTSA,2.551256256105503e-13,0.6643341172712101,0.262,0.069,5.080061457157278e-9,12.593245917312123
RPLP1,3.1083917977676406e-13,-0.2840983795912102,0.998,1,6.189429747714926e-9,12.50746424569982
ANKRD28,4.1133043029734125e-13,-0.7281603746914773,0.459,0.654,8.190411528080659e-9,12.3858091601204
MT-ND4,5.60664864428784e-13,0.4168424150292491,0.983,0.955,1.1163958780505947e-8,12.251296659280168
RNF125,1.809102267009893e-12,0.7301645052606203,0.466,0.214,3.602284434070099e-8,11.74253688214919
SCML4,1.996172504481419e-12,0.6452037683241382,0.253,0.063,3.974778690923402e-8,11.69980193073042
RPL18,3.3143742343146112e-12,-0.3198777902486709,0.986,0.987,6.599581975367254e-8,11.479598455867885
HPGD,5.06795729630821e-12,0.616906813249466,0.537,0.282,1.0091316568408907e-07,11.295167053231342
CMIP,5.099484046240687e-12,0.7708549310224493,0.622,0.398,1.0154092632874456e-7,11.292473762569895
TMSB10,6.252177068673862e-12,-0.3629746289348281,1,0.997,1.2449334979143394e-7,11.20396873077137
TNFAIP3,1.2404971416135763e-11,0.5101718316822215,0.913,0.744,2.4700779083809534e-7,10.906404232103487
G3BP2,1.3791897866543769e-11,0.7095108232934433,0.459,0.237,2.7462427031861953e-7,10.8603759675983
HLA-DRB1,1.6264685069012474e-11,-0.5636092372170083,0.931,0.937,3.238624090941764e-7,10.788754341488442
MT2A,1.96482070779946e-11,-0.8016854647626062,0.877,0.905,3.9123509933702844e-7,10.706677073362803
