sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-001,A1BG,1348,165,0.12240356083086053
OBS-006-001,A2M,1348,104,0.0771513353115727
OBS-006-001,A2ML1,1348,2,0.001483679525222552
OBS-006-001,A3GALT2,1348,1,7.41839762611276e-4
OBS-006-001,A4GALT,1348,4,0.002967359050445104
OBS-006-001,AAAS,1348,53,0.039317507418397624
OBS-006-001,AACS,1348,27,0.020029673590504452
OBS-006-001,AADAC,1348,1,7.41839762611276e-4
OBS-006-001,AADACL2,1348,1,7.41839762611276e-4
OBS-006-001,AADACL3,1348,1,7.41839762611276e-4
OBS-006-001,AADAT,1348,4,0.002967359050445104
OBS-006-001,AAED1,1348,108,0.08011869436201781
OBS-006-001,AAGAB,1348,129,0.0956973293768546
OBS-006-001,AAK1,1348,626,0.46439169139465875
OBS-006-001,AAMDC,1348,79,0.0586053412462908
OBS-006-001,AAMP,1348,142,0.10534124629080119
OBS-006-001,AANAT,1348,1,7.41839762611276e-4
OBS-006-001,AAR2,1348,42,0.03115727002967359
OBS-006-001,AARS,1348,90,0.06676557863501484
OBS-006-001,AARS2,1348,11,0.008160237388724036
OBS-006-001,AARSD1,1348,20,0.01483679525222552
OBS-006-001,AASDH,1348,86,0.06379821958456973
OBS-006-001,AASDHPPT,1348,229,0.1698813056379822
OBS-006-001,AASS,1348,18,0.013353115727002967
OBS-006-001,AATF,1348,249,0.1847181008902077
OBS-006-001,AATK,1348,7,0.0051928783382789315
OBS-006-001,ABAT,1348,90,0.06676557863501484
OBS-006-001,ABCA1,1348,51,0.037833827893175076
OBS-006-001,ABCA10,1348,3,0.002225519287833828
OBS-006-001,ABCA12,1348,7,0.0051928783382789315
OBS-006-001,ABCA13,1348,2,0.001483679525222552
OBS-006-001,ABCA2,1348,151,0.11201780415430267
OBS-006-001,ABCA3,1348,7,0.0051928783382789315
OBS-006-001,ABCA4,1348,1,7.41839762611276e-4
OBS-006-001,ABCA5,1348,113,0.08382789317507418
OBS-006-001,ABCA6,1348,6,0.004451038575667656
OBS-006-001,ABCA7,1348,93,0.06899109792284866
OBS-006-001,ABCA8,1348,1,7.41839762611276e-4
OBS-006-001,ABCA9,1348,5,0.00370919881305638
OBS-006-001,ABCB1,1348,291,0.2158753709198813
OBS-006-001,ABCB10,1348,78,0.057863501483679525
OBS-006-001,ABCB4,1348,5,0.00370919881305638
OBS-006-001,ABCB5,1348,8,0.005934718100890208
OBS-006-001,ABCB6,1348,1,7.41839762611276e-4
OBS-006-001,ABCB7,1348,155,0.11498516320474778
OBS-006-001,ABCB8,1348,70,0.05192878338278932
OBS-006-001,ABCB9,1348,16,0.011869436201780416
OBS-006-001,ABCC1,1348,830,0.615727002967359
OBS-006-001,ABCC10,1348,50,0.037091988130563795
OBS-006-001,ABCC11,1348,2,0.001483679525222552
OBS-006-001,ABCC12,1348,1,7.41839762611276e-4
OBS-006-001,ABCC3,1348,12,0.008902077151335312
OBS-006-001,ABCC4,1348,93,0.06899109792284866
OBS-006-001,ABCC5,1348,48,0.03560830860534125
OBS-006-001,ABCC6,1348,3,0.002225519287833828
OBS-006-001,ABCC8,1348,1,7.41839762611276e-4
OBS-006-001,ABCC9,1348,11,0.008160237388724036
OBS-006-001,ABCD1,1348,28,0.020771513353115726
OBS-006-001,ABCD2,1348,146,0.1083086053412463
OBS-006-001,ABCD3,1348,93,0.06899109792284866
OBS-006-001,ABCD4,1348,104,0.0771513353115727
OBS-006-001,ABCE1,1348,209,0.15504451038575667
OBS-006-001,ABCF1,1348,376,0.2789317507418398
OBS-006-001,ABCF2,1348,2,0.001483679525222552
OBS-006-001,ABCF2.1,1348,27,0.020029673590504452
OBS-006-001,ABCF3,1348,49,0.03635014836795252
OBS-006-001,ABCG1,1348,237,0.1758160237388724
OBS-006-001,ABCG2,1348,8,0.005934718100890208
OBS-006-001,ABCG5,1348,1,7.41839762611276e-4
OBS-006-001,ABCG8,1348,1,7.41839762611276e-4
OBS-006-001,ABHD10,1348,106,0.07863501483679525
OBS-006-001,ABHD11,1348,23,0.017062314540059347
OBS-006-001,ABHD12,1348,144,0.10682492581602374
OBS-006-001,ABHD13,1348,78,0.057863501483679525
OBS-006-001,ABHD14A,1348,68,0.050445103857566766
OBS-006-001,ABHD14A-ACY1,1348,2,0.001483679525222552
OBS-006-001,ABHD14B,1348,126,0.09347181008902077
OBS-006-001,ABHD15,1348,21,0.015578635014836795
OBS-006-001,ABHD16A,1348,25,0.018545994065281898
OBS-006-001,ABHD17A,1348,430,0.3189910979228487
OBS-006-001,ABHD17B,1348,253,0.18768545994065283
OBS-006-001,ABHD17C,1348,17,0.012611275964391691
OBS-006-001,ABHD18,1348,283,0.2099406528189911
OBS-006-001,ABHD2,1348,162,0.1201780415430267
OBS-006-001,ABHD3,1348,750,0.5563798219584569
OBS-006-001,ABHD4,1348,36,0.026706231454005934
OBS-006-001,ABHD5,1348,184,0.13649851632047477
