sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-005,A1BG,379,35,0.09234828496042216
OBS-006-005,A2M,379,10,0.026385224274406333
OBS-006-005,A4GALT,379,1,0.002638522427440633
OBS-006-005,AAAS,379,16,0.04221635883905013
OBS-006-005,AACS,379,12,0.0316622691292876
OBS-006-005,AAED1,379,45,0.11873350923482849
OBS-006-005,AAGAB,379,37,0.09762532981530343
OBS-006-005,AAK1,379,137,0.36147757255936674
OBS-006-005,AAMDC,379,42,0.11081794195250659
OBS-006-005,AAMP,379,43,0.11345646437994723
OBS-006-005,AANAT,379,1,0.002638522427440633
OBS-006-005,AAR2,379,10,0.026385224274406333
OBS-006-005,AARS,379,22,0.05804749340369393
OBS-006-005,AARS2,379,4,0.010554089709762533
OBS-006-005,AARSD1,379,6,0.0158311345646438
OBS-006-005,AASDH,379,23,0.06068601583113457
OBS-006-005,AASDHPPT,379,53,0.13984168865435356
OBS-006-005,AASS,379,2,0.005277044854881266
OBS-006-005,AATF,379,68,0.17941952506596306
OBS-006-005,ABAT,379,38,0.10026385224274406
OBS-006-005,ABCA1,379,2,0.005277044854881266
OBS-006-005,ABCA10,379,2,0.005277044854881266
OBS-006-005,ABCA12,379,1,0.002638522427440633
OBS-006-005,ABCA2,379,13,0.03430079155672823
OBS-006-005,ABCA3,379,5,0.013192612137203167
OBS-006-005,ABCA5,379,8,0.021108179419525065
OBS-006-005,ABCA7,379,15,0.0395778364116095
OBS-006-005,ABCB1,379,5,0.013192612137203167
OBS-006-005,ABCB10,379,22,0.05804749340369393
OBS-006-005,ABCB4,379,1,0.002638522427440633
OBS-006-005,ABCB5,379,11,0.029023746701846966
OBS-006-005,ABCB7,379,38,0.10026385224274406
OBS-006-005,ABCB8,379,24,0.0633245382585752
OBS-006-005,ABCB9,379,1,0.002638522427440633
OBS-006-005,ABCC1,379,135,0.3562005277044855
OBS-006-005,ABCC10,379,8,0.021108179419525065
OBS-006-005,ABCC2,379,1,0.002638522427440633
OBS-006-005,ABCC4,379,33,0.0870712401055409
OBS-006-005,ABCC5,379,13,0.03430079155672823
OBS-006-005,ABCC6,379,3,0.0079155672823219
OBS-006-005,ABCC8,379,1,0.002638522427440633
OBS-006-005,ABCD1,379,2,0.005277044854881266
OBS-006-005,ABCD2,379,19,0.05013192612137203
OBS-006-005,ABCD3,379,28,0.07387862796833773
OBS-006-005,ABCD4,379,16,0.04221635883905013
OBS-006-005,ABCE1,379,58,0.15303430079155672
OBS-006-005,ABCF1,379,102,0.2691292875989446
OBS-006-005,ABCF2,379,1,0.002638522427440633
OBS-006-005,ABCF2.1,379,19,0.05013192612137203
OBS-006-005,ABCF3,379,7,0.018469656992084433
OBS-006-005,ABCG1,379,10,0.026385224274406333
OBS-006-005,ABCG5,379,3,0.0079155672823219
OBS-006-005,ABHD10,379,6,0.0158311345646438
OBS-006-005,ABHD11,379,4,0.010554089709762533
OBS-006-005,ABHD12,379,37,0.09762532981530343
OBS-006-005,ABHD12B,379,1,0.002638522427440633
OBS-006-005,ABHD13,379,17,0.044854881266490766
OBS-006-005,ABHD14A,379,27,0.0712401055408971
OBS-006-005,ABHD14A-ACY1,379,2,0.005277044854881266
OBS-006-005,ABHD14B,379,27,0.0712401055408971
OBS-006-005,ABHD15,379,9,0.023746701846965697
OBS-006-005,ABHD16A,379,5,0.013192612137203167
OBS-006-005,ABHD17A,379,83,0.21899736147757257
OBS-006-005,ABHD17B,379,78,0.20580474934036938
OBS-006-005,ABHD17C,379,12,0.0316622691292876
OBS-006-005,ABHD18,379,54,0.1424802110817942
OBS-006-005,ABHD2,379,104,0.27440633245382584
OBS-006-005,ABHD3,379,62,0.16358839050131926
OBS-006-005,ABHD4,379,1,0.002638522427440633
OBS-006-005,ABHD5,379,47,0.12401055408970976
OBS-006-005,ABHD6,379,70,0.18469656992084432
OBS-006-005,ABHD8,379,17,0.044854881266490766
OBS-006-005,ABI1,379,127,0.33509234828496043
OBS-006-005,ABI2,379,37,0.09762532981530343
OBS-006-005,ABI3,379,15,0.0395778364116095
OBS-006-005,ABI3BP,379,2,0.005277044854881266
OBS-006-005,ABL1,379,23,0.06068601583113457
OBS-006-005,ABL2,379,13,0.03430079155672823
OBS-006-005,ABLIM1,379,25,0.06596306068601583
OBS-006-005,ABLIM2,379,1,0.002638522427440633
OBS-006-005,ABLIM3,379,1,0.002638522427440633
OBS-006-005,ABR,379,36,0.09498680738786279
OBS-006-005,ABRACL,379,187,0.49340369393139843
OBS-006-005,ABRAXAS1,379,13,0.03430079155672823
OBS-006-005,ABRAXAS2,379,22,0.05804749340369393
OBS-006-005,ABT1,379,40,0.10554089709762533
OBS-006-005,ABTB1,379,17,0.044854881266490766
OBS-006-005,ABTB2,379,210,0.554089709762533
OBS-006-005,AC001226.2,379,24,0.0633245382585752
OBS-006-005,AC002310.4,379,2,0.005277044854881266
OBS-006-005,AC002310.5,379,1,0.002638522427440633
OBS-006-005,AC002985.1,379,3,0.0079155672823219
OBS-006-005,AC003002.2,379,1,0.002638522427440633
OBS-006-005,AC003006.1,379,1,0.002638522427440633
OBS-006-005,AC004076.1,379,1,0.002638522427440633
OBS-006-005,AC004556.1,379,13,0.03430079155672823
OBS-006-005,AC004922.1,379,1,0.002638522427440633
OBS-006-005,AC005154.6,379,7,0.018469656992084433
OBS-006-005,AC005258.1,379,4,0.010554089709762533
OBS-006-005,AC005670.2,379,2,0.005277044854881266
OBS-006-005,AC005702.1,379,9,0.023746701846965697
OBS-006-005,AC005726.1,379,4,0.010554089709762533
OBS-006-005,AC005833.2,379,1,0.002638522427440633
OBS-006-005,AC005943.1,379,2,0.005277044854881266
OBS-006-005,AC006030.1,379,9,0.023746701846965697
OBS-006-005,AC006978.2,379,20,0.052770448548812667
OBS-006-005,AC007040.2,379,1,0.002638522427440633
OBS-006-005,AC007240.1,379,22,0.05804749340369393
OBS-006-005,AC007325.4,379,1,0.002638522427440633
OBS-006-005,AC007326.4,379,1,0.002638522427440633
OBS-006-005,AC008397.1,379,1,0.002638522427440633
OBS-006-005,AC008397.2,379,2,0.005277044854881266
OBS-006-005,AC008537.1,379,2,0.005277044854881266
OBS-006-005,AC008695.1,379,1,0.002638522427440633
OBS-006-005,AC008758.1,379,2,0.005277044854881266
