gene,Tumor digest,pre-REP,post-REP Conv,post-REP CytoTIL15,PDx Conv,PDx CytoTIL15
A1BG,0.12240356083086051,0.278698224852071,0.14616724738675957,0.14594070211604923,0.09234828496042216,0.10401891252955082
A2M,0.0771513353115727,0.01642011834319526,0.01149825783972125,0.02613229855090038,0.02638522427440633,0.00945626477541371
A2ML1,0.00148367952522255,4.437869822485207e-4,5.226480836236934e-4,4.244224822652034e-4,NA,0.00236406619385342
A3GALT2,7.41839762611276e-4,0.00754437869822485,0.00209059233449477,0.0018189534954223,NA,NA
A4GALT,0.0029673590504451,NA,0.0024390243902439,1.2126356636148667e-4,0.00263852242744063,NA
AAAS,0.03931750741839762,0.06094674556213018,0.12282229965156796,0.0847632328866792,0.04221635883905013,0.0425531914893617
AACS,0.02002967359050445,0.103698224852071,0.10174216027874564,0.06548232583520282,0.0316622691292876,0.0591016548463357
AADAC,7.41839762611276e-4,NA,NA,NA,NA,NA
AADACL2,7.41839762611276e-4,NA,NA,NA,NA,NA
AADACL3,7.41839762611276e-4,NA,1.7421602787456446e-4,NA,NA,NA
AADAT,0.0029673590504451,NA,NA,NA,NA,NA
AAED1,0.08011869436201781,0.07751479289940828,0.12822299651567945,0.08027648093130418,0.11873350923482848,0.14893617021276595
AAGAB,0.0956973293768546,0.2375739644970414,0.32857142857142857,0.2626568847389802,0.09762532981530345,0.0851063829787234
AAK1,0.46439169139465875,0.6516272189349113,0.8109756097560976,0.7004183593039471,0.36147757255936674,0.491725768321513
AAMDC,0.0586053412462908,0.17026627218934912,0.21916376306620208,0.1453343842842418,0.1108179419525066,0.12293144208037823
AAMP,0.1053412462908012,0.12766272189349112,0.19442508710801393,0.1461832292487722,0.11345646437994723,0.12293144208037823
AANAT,7.41839762611276e-4,7.396449704142012e-4,0.00104529616724738,9.701085308918936e-4,0.00263852242744063,NA
AAR2,0.03115727002967359,0.10355029585798815,0.10836236933797908,0.0742739343964106,0.02638522427440633,0.05200945626477541
AARS,0.06676557863501484,0.1912721893491124,0.11811846689895472,0.07882131813496634,0.05804749340369393,0.02836879432624113
AARS2,0.00816023738872403,0.02618343195266272,0.03519163763066202,0.02382829079003213,0.01055408970976253,0.01418439716312056
AARSD1,0.01483679525222552,0.02218934911242603,0.04529616724738676,0.0282544109622264,0.0158311345646438,0.02127659574468085
AASDH,0.06379821958456973,0.1051775147928994,0.11393728222996516,0.11034984538895289,0.06068601583113457,0.07801418439716312
AASDHPPT,0.1698813056379822,0.1752958579881657,0.3465156794425087,0.2652034196325714,0.13984168865435356,0.14893617021276595
AASS,0.01335311572700296,0.00177514792899408,0.00592334494773519,0.00466864730491723,0.00527704485488126,0.00709219858156028
AATF,0.1847181008902077,0.4544378698224852,0.5233449477351917,0.38792214879039594,0.17941952506596306,0.24349881796690304
AATK,0.00519287833827893,2.958579881656805e-4,3.484320557491289e-4,2.4252713272297335e-4,NA,0.00472813238770685
ABAT,0.06676557863501484,0.05591715976331361,0.05679442508710801,0.04068392651427878,0.10026385224274406,0.08037825059101655
ABCA1,0.03783382789317507,0.03150887573964497,0.00313588850174216,8.488449645304068e-4,0.00527704485488126,0.00709219858156028
ABCA10,0.00222551928783382,0.0143491124260355,0.00505226480836236,0.00381980234038683,0.00527704485488126,NA
ABCA12,0.00519287833827893,0.00207100591715976,0.01080139372822299,0.01006487600800339,0.00263852242744063,NA
ABCA13,0.00148367952522255,1.4792899408284024e-4,0.00104529616724738,7.882131813496635e-4,NA,0.00472813238770685
ABCA2,0.11201780415430268,0.05266272189349112,0.04634146341463414,0.04583762808464197,0.03430079155672823,0.0425531914893617
ABCA3,0.00519287833827893,0.04822485207100591,0.08989547038327526,0.05117322500454738,0.01319261213720316,0.02364066193853428
ABCA4,7.41839762611276e-4,1.4792899408284024e-4,3.484320557491289e-4,4.244224822652034e-4,NA,NA
ABCA5,0.08382789317507418,0.15754437869822485,0.07822299651567945,0.0746983568786758,0.02110817941952506,0.0260047281323877
ABCA6,0.00445103857566765,2.958579881656805e-4,5.226480836236934e-4,6.0631783180743344e-5,NA,NA
ABCA7,0.06899109792284866,0.08254437869822485,0.08327526132404181,0.06893833747650518,0.0395778364116095,0.03782505910165484
ABCA8,7.41839762611276e-4,NA,NA,4.244224822652034e-4,NA,0.00236406619385342
ABCA9,0.00370919881305638,2.958579881656805e-4,5.226480836236934e-4,0.00133389922997635,NA,NA
ABCB1,0.2158753709198813,0.08284023668639054,0.04860627177700348,0.06493663978657613,0.01319261213720316,0.06146572104018912
ABCB10,0.05786350148367952,0.13875739644970414,0.22369337979094076,0.1540047292790881,0.05804749340369393,0.05673758865248227
ABCB4,0.00370919881305638,2.958579881656805e-4,3.484320557491289e-4,4.850542654459467e-4,0.00263852242744063,0.00236406619385342
ABCB5,0.0059347181008902,7.396449704142012e-4,6.968641114982578e-4,8.488449645304068e-4,0.02902374670184696,0.03546099290780142
ABCB6,7.41839762611276e-4,0.00724852071005917,0.00313588850174216,0.00260716667677196,NA,NA
ABCB7,0.11498516320474778,0.23579881656804733,0.1975609756097561,0.17098162856969623,0.10026385224274406,0.10401891252955082
ABCB8,0.05192878338278932,0.06153846153846154,0.11637630662020906,0.08530891893530589,0.0633245382585752,0.09456264775413711
ABCB9,0.01186943620178041,0.01715976331360946,0.01550522648083623,0.0163705814588007,0.00263852242744063,0.00945626477541371
ABCC1,0.615727002967359,0.48002958579881655,0.46219512195121953,0.3365670284363063,0.3562005277044855,0.42080378250591016
ABCC10,0.03709198813056379,0.0514792899408284,0.09355400696864112,0.0733038258655187,0.02110817941952506,0.04018912529550828
ABCC11,0.00148367952522255,0.00118343195266272,0.00121951219512195,0.00121263566361486,NA,0.00236406619385342
ABCC12,7.41839762611276e-4,2.958579881656805e-4,1.7421602787456446e-4,1.2126356636148667e-4,NA,NA
ABCC3,0.00890207715133531,0.00680473372781065,0.00104529616724738,0.00103074031407263,NA,0.00236406619385342
ABCC4,0.06899109792284866,0.1099112426035503,0.19651567944250872,0.13545140362578065,0.0870712401055409,0.0591016548463357
ABCC5,0.03560830860534125,0.09452662721893491,0.09843205574912892,0.0865821863821015,0.03430079155672823,0.05673758865248227
ABCC6,0.00222551928783382,0.00502958579881656,0.00261324041811846,0.00121263566361486,0.0079155672823219,0.00472813238770685
